Survived,Name,Sex,Age,Marital Status,Group
1,Patrick Breen,M,51,M, 1
1,Margaret Breen,F,40,M, 1
1,John Breen,M,14,S, 1
1,Patrick Breen Jr.,M,9,S, 1
1,Simon Preston Breen,M,8,S, 1
1,James Frederick Breen,M,5, 1
1,Peter Breen,M,3,S, 1
1,Isabella Breen,F,1,S, 1
1,James Frazier Reed,M,45,M, 2
1,Margaret Keyes Reed,F,32,M, 2
1,Virginia BackenstoeReed,F,13,S, 2
1,Martha Jane Reed,F,8,S, 2
1,James F. Reed Jr.,M,5,S, 2
1,Thomas Keyes Reed,M,3,S, 2
0,Sarah Keyes Reed,F,70,W, 2
0,George Donner,M,62,M, 3
0,Tamzene Donner,F,45,M, 3
1,Elitha Donner,F,14,S, 3
1,Frances Donner,F,6,S, 3
1,Georgia Donner,F,4,S, 3
1,Eliza Donner,F,3,S, 3
1,Leanna Charity Donner,F,11,S, 3
0,Jacob Donner,M,56,M, 3
0,Elizabeth Donner,F,38,M, 3
1,Solomon Hook,M,14,S, 3
1,George Donner(the younger),M,10,S, 3
1,Mary Donner,F,7,S, 3
0,Isaac Donner,M,5,S, 3
0,Samuel Donner,M,4,S, 3
0,Lewis Donner,M,3,S, 3
1,William Eddy,M,28,M, 4
0,Eleanor Eddy,F,25,M, 4
0,James Eddy,M,3,S, 4
0,Margaret Eddy,F,1,S, 4
0,Franklin Graves,M,57,M, 5
0,Elizabeth Graves,F,46,M, 5
1,Mary Ann Graves,F,20,S, 5
1,William Graves,M,17,S, 5
1,Eleanor Graves,F,14,S, 5
1,Lovina Graves,F,12,S, 5
1,Jonathan Graves,M,7,S, 5
0,Elizabeth Graves(the younger),F,1,S, 5
0,Franklin Graves Jr.,M,5,S, 5
1,Sarah Graves Fosdick,F,21,M, 5
0,Jay Fosdick,M,23,M, 5
0,Levinah Murphy,F,36,W, 6
1,Sarah Ann Murphy,F,19,M, 6
1,Simon Peter Murphy,M,8,S, 6
0,John Landrum Murphy,M,16,S, 6
0,Lemuel Murphy,M,13,S, 6
1,William Murphy,M,10,S, 6
1,Sarah Ann Foster,F,20,M, 7
1,William Foster,M,31,M, 7
1,Jeremiah Foster,M,2,S, 7
0,William Pike,M,32,M, 8
1,Harriet Murphy Pike,F,18,M, 8
1,Naomi Pike,F,2,S, 8
0,Catherine Pike,F,1,S, 8
1,William McCutchen,M,30,M, 9
0,Amanda McCutchen,F,23,M, 9
1,Harriet McCuthen,F,1,S, 9
0,Jacob Wolfinger,M,,M, 10
1,Doris Wolfinger,M,20,M, 10
1,Lewis Keseberg,M,32,M, 11
1,Philippine Keseberg,F,23,M, 11
0,Ada Keseberg,F,3,S, 11
0,Lewis Keseberg Jr.,M,5.5,S, 11
0,Antonio,M,23,S, 12
0,Augustus Spitzer,M,30,S, 12
0,Baylis Williams,M,25,S, 12
0,Charles Burger,M,30,S, 12
0,Charles Stanton,M,35,S, 12
0,Hardcoop,M,60,S, 12
1,Hiram Miller,M,29,S, 12
0,James Smith,M,25,S, 12
1,Jean Baptiste Trudeau,M,16,S, 12
0,John Denton,M,28,S, 12
0,John Snyder,M,25,S, 12
0,Joseph Reinhardt,M,30,S, 12
0,Luke Halloran,M,25,S, 12
0,Luis,M,,S, 12
0,Salvador,M,,S, 12
0,Milt Elliot,M,28,S, 12
1,Noah James,M,16,S, 12
0,Patrick Dolan,M,35,S, 12
1,Walter Herron,M,27,S, 12
0,Samuel Shoemaker,M,25,S, 12
1,Eliza William,F,31,S, 12
0,William Hook,M,12,S, 11
